case,dataset,fault,status,truth,stage,arm,answer,correct,rank_of_truth,reason_for_answer,reason_for_truth,role_of_truth,retention_kept,retention_missed,retention_score,prompt_tokens,eval_tokens,wall_s,gpu_free_before_MB,parse_error,model,thinking,num_ctx
re2ss_user_loss_1,RE2-SS,loss,clear,user,step1,python:strength,user,True,1,presence user_latency-50 (52.72 (100%->35%)); presence user_latency-90 (112.1 (100%->35%)),presence user_latency-50 (52.72 (100%->35%)); presence user_latency-90 (112.1 (100%->35%)),,user latency goes quiet; user error metric appears; user log volume quiet,,3/3,,,,,,,,
re2ss_user_loss_1,RE2-SS,loss,clear,user,step1,python:onset,queue-master,False,3,quiet queue-master log volume (554.2->83.2 lines/min); shape queue-master_cpu (2.14),quiet user log volume (594.5->98.6 lines/min); log_oneoff 3 log_oneoff lines (3 patterns),,user latency goes quiet; user error metric appears; user log volume quiet,,3/3,,,,,,,,
re1ob_adservice_mem_1,RE1-OB,mem,clear,adservice,step1,python:strength,adservice,True,1,shape adservice_mem (10.6); shape adservice_cpu (33.07),shape adservice_mem (10.6); shape adservice_cpu (33.07),,adservice metric shift (adservice_mem),,1/1,,,,,,,,
re1ob_adservice_mem_1,RE1-OB,mem,clear,adservice,step1,python:onset,adservice,True,1,shape adservice_mem (10.6); shape adservice_latency (2.45),shape adservice_mem (10.6); shape adservice_latency (2.45),,adservice metric shift (adservice_mem),,1/1,,,,,,,,
re2ob_checkoutservice_disk_1,RE2-OB,disk,clear,checkoutservice,step1,python:strength,checkoutservice,True,1,shape checkoutservice_mem (12.77); shape checkoutservice_cpu (47),shape checkoutservice_mem (12.77); shape checkoutservice_cpu (47),,checkoutservice presence change (checkoutservice_diskio); checkoutservice metric shift (checkoutservice_mem),,2/2,,,,,,,,
re2ob_checkoutservice_disk_1,RE2-OB,disk,clear,checkoutservice,step1,python:onset,recommendationservice,False,3,"log_new [Recv ListRecommendations] product_ids=['<n>E92ZMYYFZ', 'L9E (0->3); log_oneoff 3459 log_oneoff lines (3459 patterns)",shape checkoutservice_mem (12.77); shape checkoutservice_socket (1.33),,checkoutservice presence change (checkoutservice_diskio); checkoutservice metric shift (checkoutservice_mem),,2/2,,,,,,,,
re1tt_ts-order-service_cpu_1,RE1-TT,cpu,clear,ts-order-service,step1,python:strength,ts-order-service,True,1,shape ts-order-service_cpu (20.89); shape ts-order-service_latency-90 (1.92),shape ts-order-service_cpu (20.89); shape ts-order-service_latency-90 (1.92),,ts-order-service metric shift (ts-order-service_cpu),,1/1,,,,,,,,
re1tt_ts-order-service_cpu_1,RE1-TT,cpu,clear,ts-order-service,step1,python:onset,ts-config-mongo,False,3,shape ts-config-mongo_mem (1.04),shape ts-order-service_cpu (20.89); shape ts-order-service_latency-90 (1.92),,ts-order-service metric shift (ts-order-service_cpu),,1/1,,,,,,,,
re2tt_ts-order-service_delay_1,RE2-TT,delay,clear,ts-order-service,step1,python:strength,ts-security-service,False,3,shape ts-security-service_latency-50 (15.83); shape ts-security-service_latency-90 (23.55),shape ts-order-service_latency-50 (51.03); shape ts-order-service_latency-90 (48),,ts-order-service new log pattern (INFO <n> --- [<thread>] order.service.Or); ts-order-service log volume quiet (ts-order-service log volume); ts-order-service log rate change (INFO <n> --- [<thread>] order.controller),,3/3,,,,,,,,
re2tt_ts-order-service_delay_1,RE2-TT,delay,clear,ts-order-service,step1,python:onset,ts-admin-basic-info-service,False,10,quiet ts-admin-basic-info-service log volume (22.8->17.6 lines/min); shape ts-admin-basic-info-service_cpu (1.2),quiet ts-order-service log volume (300.6->167.3 lines/min); shape ts-order-service_socket (1.54),,ts-order-service new log pattern (INFO <n> --- [<thread>] order.service.Or); ts-order-service log volume quiet (ts-order-service log volume); ts-order-service log rate change (INFO <n> --- [<thread>] order.controller),,3/3,,,,,,,,
re1ob_cartservice_loss_4,RE1-OB,loss,weak,cartservice,step1,python:strength,recommendationservice,False,2,shape recommendationservice_latency-90 (1.55); shape recommendationservice_latency-50 (1.05),shape cartservice_latency-90 (30.31); shape cartservice_latency-50 (1.4),,cartservice metric shift (cartservice_latency-90),,1/1,,,,,,,,
re1ob_cartservice_loss_4,RE1-OB,loss,weak,cartservice,step1,python:onset,productcatalogservice,False,4,shape productcatalogservice_cpu (1.1); shape productcatalogservice_workload (1.05),shape cartservice_latency-90 (30.31); shape cartservice_latency-50 (1.4),,cartservice metric shift (cartservice_latency-90),,1/1,,,,,,,,
re3ss_carts_f4_1,RE3-SS,f4,weak,carts,step1,python:strength,carts,True,1,"log_rare 122 log_rare lines [classes: java.io.IOException, javax.serv (122 patterns); log_oneoff 29 log_oneoff lines [classes: java.net.ConnectException, com (29 patterns)","log_rare 122 log_rare lines [classes: java.io.IOException, javax.serv (122 patterns); log_oneoff 29 log_oneoff lines [classes: java.net.ConnectException, com (29 patterns)",,carts log volume quiet (carts log volume); carts metric shift (carts_socket),,2/2,,,,,,,,
re3ss_carts_f4_1,RE3-SS,f4,weak,carts,step1,python:onset,orders-db,False,2,shape orders-db_socket (2.5); shape orders-db_cpu (1.03),"quiet carts log volume (175.7->162.3 lines/min); log_oneoff 29 log_oneoff lines [classes: java.net.ConnectException, com (29 patterns)",,carts log volume quiet (carts log volume); carts metric shift (carts_socket),,2/2,,,,,,,,
re3ss_carts_f1_1,RE3-SS,f1,clear,carts,step1,llm:qwen2.5-coder:7b-nothink-shuffled,front-end,False,2,High error rates and significant log rate increases.,New error log and significant log rate increase.,,carts WARN 'POST not supported'; carts error-seconds rise,carts goes quiet (restart),2/3,2838.0,699.0,20.74,18209.0,,qwen2.5-coder:7b,False,4608.0
re3ss_carts_f3_1,RE3-SS,f3,clear,carts,step1,llm:qwen2.5-coder:7b-nothink-shuffled,carts-db,False,2,Socket issues and error rate indicate a potential connectivity or database problem.,High error rate and socket issues suggest a functional issue affecting multiple services.,,carts error-rate rise (carts_error),carts new log pattern (WARN o.s.web.servlet.PageNotFound: Reque); carts log volume quiet (carts log volume),1/3,2777.0,626.0,8.85,13281.0,,qwen2.5-coder:7b,False,4608.0
re3ss_orders_f1_1,RE3-SS,f1,clear,orders,step1,llm:qwen2.5-coder:7b-nothink-shuffled,front-end,False,2,Multiple new error logs indicating issues with order processing.,Multiple new error and log entries indicating issues with order processing and payment handling.,,orders error-rate rise (orders_error); orders new log pattern (Caused by: java.lang.IllegalArgumentExce),orders presence change (orders_diskio),2/3,3074.0,789.0,11.06,13281.0,,qwen2.5-coder:7b,False,4608.0
re3ss_orders_f3_1,RE3-SS,f3,clear,orders,step1,llm:qwen2.5-coder:7b-nothink-shuffled,orders,True,1,High error rate and significant changes in latency indicate a critical issue,High error rate and significant changes in latency indicate a critical issue,,orders error-seconds rise,orders INFO 'payment response: null'; front-end 'Not Acceptable' orders,1/3,2805.0,567.0,8.23,13281.0,,qwen2.5-coder:7b,False,4608.0
re3ss_front-end_f1_1,RE3-SS,f1,clear,front-end,step1,llm:qwen2.5-coder:7b-nothink-shuffled,front-end,True,1,High error rate and significant changes in log patterns.,High error rate and significant changes in log patterns.,,"front-end error-rate rise (front-end_error); front-end new log pattern (Order response: {""statusCode"":status406,); front-end log rate change (POST /cart status500 <n> ms - <n>)",,3/3,1938.0,643.0,12.91,13281.0,,qwen2.5-coder:7b,False,3584.0
re2ss_user_loss_1,RE2-SS,loss,clear,user,step1,llm:qwen2.5-coder:7b-nothink-shuffled,front-end,False,3,High CPU usage and quiet log volume suggest a significant issue.,Error metric appeared and latency issues are critical.,,user latency goes quiet; user error metric appears; user log volume quiet,,3/3,5788.0,585.0,13.39,13485.0,,qwen2.5-coder:7b,False,8192.0
re1ob_adservice_mem_1,RE1-OB,mem,clear,adservice,step1,llm:qwen2.5-coder:7b-nothink-shuffled,adservice,True,1,"Significant changes in CPU, memory, and latency suggest a potential root cause.","Significant changes in CPU, memory, and latency suggest a potential root cause.",,adservice metric shift (adservice_mem),,1/1,682.0,652.0,12.34,13077.0,,qwen2.5-coder:7b,False,2048.0
re2ob_checkoutservice_disk_1,RE2-OB,disk,clear,checkoutservice,step1,llm:qwen2.5-coder:7b-nothink-shuffled,recommendationservice,False,2,High volume of new log entries and rare events suggest potential service overload or misconfiguration.,"Significant increases in CPU, memory, disk I/O, and socket connections indicate potential service issues.",,checkoutservice presence change (checkoutservice_diskio); checkoutservice metric shift (checkoutservice_mem),,2/2,8032.0,815.0,17.6,13569.0,,qwen2.5-coder:7b,False,10752.0
re1tt_ts-order-service_cpu_1,RE1-TT,cpu,clear,ts-order-service,step1,llm:qwen2.5-coder:7b-nothink-shuffled,ts-order-service,True,1,High CPU and latency indicate potential performance issues.,High CPU and latency indicate potential performance issues.,,,ts-order-service metric shift (ts-order-service_cpu),0/1,1504.0,583.0,22.33,12933.0,,qwen2.5-coder:7b,False,3072.0
re2tt_ts-order-service_delay_1,RE2-TT,delay,clear,ts-order-service,step1,llm:qwen2.5-coder:7b-nothink-shuffled,ts-inside-payment-service,False,3,High latency and step changes in error rate suggest a potential performance bottleneck.,Step changes in error rate suggest a sudden increase in load or resource contention.,,,ts-order-service new log pattern (INFO <n> --- [<thread>] order.service.Or); ts-order-service log volume quiet (ts-order-service log volume); ts-order-service log rate change (INFO <n> --- [<thread>] order.controller),0/3,7287.0,681.0,15.32,13495.0,,qwen2.5-coder:7b,False,9728.0
re1ob_cartservice_loss_4,RE1-OB,loss,weak,cartservice,step1,llm:qwen2.5-coder:7b-nothink-shuffled,recommendationservice,False,2,High 90th percentile latency and workload drop suggest a potential performance issue.,Substantial latency increase and workload drop indicate a potential bottleneck.,,,cartservice metric shift (cartservice_latency-90),0/1,630.0,605.0,11.88,12973.0,,qwen2.5-coder:7b,False,2048.0
re3ss_carts_f4_1,RE3-SS,f4,weak,carts,step1,llm:qwen2.5-coder:7b-nothink-shuffled,orders,False,2,"High workload and error rate, likely causing cascading issues.","Socket error rate increased, indicating potential issues.",,,carts log volume quiet (carts log volume); carts metric shift (carts_socket),0/2,2206.0,553.0,11.49,13548.0,,qwen2.5-coder:7b,False,3584.0
re3ss_carts_f1_1,RE3-SS,f1,clear,carts,step1,llm:gemma4:26b-nothink-shuffled,carts,True,1,High error rate and new method not supported warnings suggest service instability or misconfiguration.,High error rate and new method not supported warnings suggest service instability or misconfiguration.,,carts WARN 'POST not supported'; carts goes quiet (restart); carts error-seconds rise,,3/3,3027.0,628.0,59.93,18188.0,,gemma4:26b,False,4608.0
re3ss_carts_f3_1,RE3-SS,f3,clear,carts,step1,llm:gemma4:26b-nothink-shuffled,carts-db,False,2,Socket drops and connection refused errors in carts suggest the database is the root cause.,Experiencing high error rates and connection failures to its backend.,,carts error-rate rise (carts_error); carts new log pattern (WARN o.s.web.servlet.PageNotFound: Reque),carts log volume quiet (carts log volume),2/3,2959.0,609.0,10.53,474.0,,gemma4:26b,False,4608.0
re3ss_orders_f1_1,RE3-SS,f1,clear,orders,step1,llm:gemma4:26b-nothink-shuffled,queue-master,False,2,Complete silence in logs and disappearance of critical DockerSpawner errors suggests a failure in the task orchestration layer.,Experiencing massive error rates and new JsonMappingException errors which are likely causing upstream failures.,,orders error-rate rise (orders_error); orders new log pattern (Caused by: java.lang.IllegalArgumentExce),orders presence change (orders_diskio),2/3,3315.0,628.0,28.98,487.0,,gemma4:26b,False,5120.0
re3ss_orders_f3_1,RE3-SS,f3,clear,orders,step1,llm:gemma4:26b-nothink-shuffled,orders-db,False,3,Shows a clear step change in socket count and network-related logs,High error rate and receiving null payment responses,,orders INFO 'payment response: null'; front-end 'Not Acceptable' orders; orders error-seconds rise,,3/3,3005.0,612.0,26.99,479.0,,gemma4:26b,False,4608.0
re3ss_front-end_f1_1,RE3-SS,f1,clear,front-end,step1,llm:gemma4:26b-nothink-shuffled,orders,False,2,The front-end is reporting InvalidOrderException specifically from the orders controller.,It is the primary entry point experiencing massive error rate increases and log pattern shifts.,,"front-end error-rate rise (front-end_error); front-end new log pattern (Order response: {""statusCode"":status406,); front-end log rate change (POST /cart status500 <n> ms - <n>)",,3/3,2033.0,595.0,25.88,475.0,,gemma4:26b,False,3584.0
re2ss_user_loss_1,RE2-SS,loss,clear,user,step1,llm:gemma4:26b-nothink-shuffled,user,True,1,High error rate and massive latency spikes suggest it is a primary failure point.,High error rate and massive latency spikes suggest it is a primary failure point.,,user latency goes quiet; user error metric appears; user log volume quiet,,3/3,6024.0,608.0,28.68,321.0,,gemma4:26b,False,8192.0
re1ob_adservice_mem_1,RE1-OB,mem,clear,adservice,step1,llm:gemma4:26b-nothink-shuffled,adservice,True,1,"Shows massive simultaneous increases in CPU, memory, and latency.","Shows massive simultaneous increases in CPU, memory, and latency.",,adservice metric shift (adservice_mem),,1/1,699.0,249.0,20.57,419.0,,gemma4:26b,False,2048.0
re2ob_checkoutservice_disk_1,RE2-OB,disk,clear,checkoutservice,step1,llm:gemma4:26b-nothink-shuffled,checkoutservice,True,1,"Exhibits massive step changes in CPU, memory, disk, and sockets.","Exhibits massive step changes in CPU, memory, disk, and sockets.",,checkoutservice presence change (checkoutservice_diskio); checkoutservice metric shift (checkoutservice_mem),,2/2,8192.0,477.0,27.95,373.0,,gemma4:26b,False,10752.0
re1tt_ts-order-service_cpu_1,RE1-TT,cpu,clear,ts-order-service,step1,llm:gemma4:26b-nothink-shuffled,ts-order-service,True,1,Shows massive CPU increase and rising latency.,Shows massive CPU increase and rising latency.,,ts-order-service metric shift (ts-order-service_cpu),,1/1,1735.0,248.0,21.39,371.0,,gemma4:26b,False,3072.0
re2tt_ts-order-service_delay_1,RE2-TT,delay,clear,ts-order-service,step1,llm:gemma4:26b-nothink-shuffled,ts-order-service,True,1,Experiencing massive latency spikes and new log patterns.,Experiencing massive latency spikes and new log patterns.,,,ts-order-service new log pattern (INFO <n> --- [<thread>] order.service.Or); ts-order-service log volume quiet (ts-order-service log volume); ts-order-service log rate change (INFO <n> --- [<thread>] order.controller),0/3,7824.0,630.0,30.1,353.0,,gemma4:26b,False,10240.0
re1ob_cartservice_loss_4,RE1-OB,loss,weak,cartservice,step1,llm:gemma4:26b-nothink-shuffled,recommendationservice,False,2,"Shows a clear, significant step change in high-percentile latency.",Shows an extreme increase in 90th percentile latency.,,cartservice metric shift (cartservice_latency-90),,1/1,647.0,330.0,21.0,358.0,,gemma4:26b,False,2048.0
re3ss_carts_f4_1,RE3-SS,f4,weak,carts,step1,llm:gemma4:26b-nothink-shuffled,orders-db,False,3,Shows a clear step change down in socket metric.,Experiencing connection exceptions and log quiet periods.,,carts log volume quiet (carts log volume),carts metric shift (carts_socket),1/2,2365.0,484.0,24.54,348.0,,gemma4:26b,False,4096.0
re3ss_carts_f1_1,RE3-SS,f1,clear,carts,step2,python:strength+llm2:qwen2.5-coder:7b,carts,True,1,error_rate carts_error (from ~0 errors 6%->98%); log_new WARN o.s.web.servlet.PageNotFound: Request method 'POST' not (0->569),error_rate carts_error (from ~0 errors 6%->98%); log_new WARN o.s.web.servlet.PageNotFound: Request method 'POST' not (0->569),unlisted,carts WARN 'POST not supported'; carts goes quiet (restart); carts error-seconds rise,,3/3,1428.0,391.0,16.25,18192.0,,qwen2.5-coder:7b,False,3072.0
re3ss_carts_f1_1,RE3-SS,f1,clear,carts,step2,llm:qwen2.5-coder:7b-nothink-shuffled+llm2:qwen2.5-coder:7b,front-end,False,2,High error rates and significant log rate increases.,New error log and significant log rate increase.,origin,carts WARN 'POST not supported'; carts error-seconds rise,carts goes quiet (restart),2/3,793.0,290.0,8.01,13506.0,,qwen2.5-coder:7b,False,2048.0
re3ss_carts_f3_1,RE3-SS,f3,clear,carts,step2,python:strength+llm2:qwen2.5-coder:7b,carts,True,1,error_rate carts_error (from ~0 errors 14%->98%); log_new WARN o.s.web.servlet.PageNotFound: Request method 'POST' not (0->574),error_rate carts_error (from ~0 errors 14%->98%); log_new WARN o.s.web.servlet.PageNotFound: Request method 'POST' not (0->574),origin,carts error-rate rise (carts_error); carts new log pattern (WARN o.s.web.servlet.PageNotFound: Reque); carts log volume quiet (carts log volume),,3/3,1353.0,390.0,9.14,13562.0,,qwen2.5-coder:7b,False,3072.0
re3ss_carts_f3_1,RE3-SS,f3,clear,carts,step2,llm:qwen2.5-coder:7b-nothink-shuffled+llm2:qwen2.5-coder:7b,carts-db,False,2,Socket issues and error rate indicate a potential connectivity or database problem.,High error rate and socket issues suggest a functional issue affecting multiple services.,victim,carts error-rate rise (carts_error),carts new log pattern (WARN o.s.web.servlet.PageNotFound: Reque); carts log volume quiet (carts log volume),1/3,777.0,303.0,7.9,13506.0,,qwen2.5-coder:7b,False,2048.0
re3ss_orders_f1_1,RE3-SS,f1,clear,orders,step2,python:strength+llm2:qwen2.5-coder:7b,front-end,False,2,"log_new POST /orders status400 - ms - - (0->644); log_new Order response: {""cause"":{""cause"":{""cause"":null,""message"":""C (0->643)",log_new Caused by: java.lang.IllegalArgumentException: Conflicting s (0->644); log_new Caused by: com.fasterxml.jackson.databind.JsonMappingExcepti (0->643),origin,orders presence change (orders_diskio); orders error-rate rise (orders_error); orders new log pattern (Caused by: java.lang.IllegalArgumentExce),,3/3,1341.0,469.0,10.44,13563.0,,qwen2.5-coder:7b,False,3072.0
re3ss_orders_f1_1,RE3-SS,f1,clear,orders,step2,llm:qwen2.5-coder:7b-nothink-shuffled+llm2:qwen2.5-coder:7b,front-end,False,2,Multiple new error logs indicating issues with order processing.,Multiple new error and log entries indicating issues with order processing and payment handling.,origin,orders error-rate rise (orders_error); orders new log pattern (Caused by: java.lang.IllegalArgumentExce),orders presence change (orders_diskio),2/3,794.0,334.0,8.6,13507.0,,qwen2.5-coder:7b,False,2048.0
re3ss_orders_f3_1,RE3-SS,f3,clear,orders,step2,python:strength+llm2:qwen2.5-coder:7b,front-end,False,2,"log_new Order response: {""statusCode"":status406,""body"":{""timestamp"": (0->642); log_rate POST /orders status406 - ms - - (77->642)","log_new INFO w.w.s.o.controllers.OrdersController: Received payment  (0->642); log_rare 104 log_rare lines [classes: java.io.IOException, javax.serv (104 patterns)",origin,orders INFO 'payment response: null'; front-end 'Not Acceptable' orders; orders error-seconds rise,,3/3,1282.0,367.0,9.06,13563.0,,qwen2.5-coder:7b,False,2560.0
re3ss_orders_f3_1,RE3-SS,f3,clear,orders,step2,llm:qwen2.5-coder:7b-nothink-shuffled+llm2:qwen2.5-coder:7b,orders,True,1,High error rate and significant changes in latency indicate a critical issue,High error rate and significant changes in latency indicate a critical issue,victim,orders error-seconds rise,orders INFO 'payment response: null'; front-end 'Not Acceptable' orders,1/3,707.0,329.0,8.41,13535.0,,qwen2.5-coder:7b,False,2048.0
re3ss_front-end_f1_1,RE3-SS,f1,clear,front-end,step2,python:strength+llm2:qwen2.5-coder:7b,front-end,True,1,log_rate POST /cart status500 <n> ms - <n> (77->705); log_rate POST /cart status201 - ms - - (655->30),log_rate POST /cart status500 <n> ms - <n> (77->705); log_rate POST /cart status201 - ms - - (655->30),origin,"front-end error-rate rise (front-end_error); front-end new log pattern (Order response: {""statusCode"":status406,); front-end log rate change (POST /cart status500 <n> ms - <n>)",,3/3,1309.0,380.0,9.28,13563.0,,qwen2.5-coder:7b,False,2560.0
re3ss_front-end_f1_1,RE3-SS,f1,clear,front-end,step2,llm:qwen2.5-coder:7b-nothink-shuffled+llm2:qwen2.5-coder:7b,front-end,True,1,High error rate and significant changes in log patterns.,High error rate and significant changes in log patterns.,origin,"front-end error-rate rise (front-end_error); front-end new log pattern (Order response: {""statusCode"":status406,); front-end log rate change (POST /cart status500 <n> ms - <n>)",,3/3,719.0,384.0,9.17,13535.0,,qwen2.5-coder:7b,False,2048.0
re2ss_user_loss_1,RE2-SS,loss,clear,user,step2,python:strength+llm2:qwen2.5-coder:7b,user,True,1,presence user_latency-50 (52.72 (100%->35%)); presence user_latency-90 (112.1 (100%->35%)),presence user_latency-50 (52.72 (100%->35%)); presence user_latency-90 (112.1 (100%->35%)),unknown,user latency goes quiet; user error metric appears; user log volume quiet,,3/3,1598.0,507.0,10.9,13563.0,,qwen2.5-coder:7b,False,3072.0
re2ss_user_loss_1,RE2-SS,loss,clear,user,step2,llm:qwen2.5-coder:7b-nothink-shuffled+llm2:qwen2.5-coder:7b,front-end,False,3,High CPU usage and quiet log volume suggest a significant issue.,Error metric appeared and latency issues are critical.,origin,user latency goes quiet; user error metric appears; user log volume quiet,,3/3,713.0,246.0,7.24,13507.0,,qwen2.5-coder:7b,False,2048.0
re1ob_adservice_mem_1,RE1-OB,mem,clear,adservice,step2,python:strength+llm2:qwen2.5-coder:7b,adservice,True,1,shape adservice_mem (10.6); shape adservice_cpu (33.07),shape adservice_mem (10.6); shape adservice_cpu (33.07),victim,adservice metric shift (adservice_mem),,1/1,1148.0,525.0,11.0,13563.0,,qwen2.5-coder:7b,False,2560.0
re1ob_adservice_mem_1,RE1-OB,mem,clear,adservice,step2,llm:qwen2.5-coder:7b-nothink-shuffled+llm2:qwen2.5-coder:7b,adservice,True,1,"Significant changes in CPU, memory, and latency suggest a potential root cause.","Significant changes in CPU, memory, and latency suggest a potential root cause.",victim,adservice metric shift (adservice_mem),,1/1,703.0,321.0,8.28,13535.0,,qwen2.5-coder:7b,False,2048.0
re2ob_checkoutservice_disk_1,RE2-OB,disk,clear,checkoutservice,step2,python:strength+llm2:qwen2.5-coder:7b,checkoutservice,True,1,shape checkoutservice_mem (12.77); shape checkoutservice_cpu (47),shape checkoutservice_mem (12.77); shape checkoutservice_cpu (47),origin,checkoutservice presence change (checkoutservice_diskio); checkoutservice metric shift (checkoutservice_mem),,2/2,1063.0,413.0,9.34,13563.0,,qwen2.5-coder:7b,False,2560.0
re2ob_checkoutservice_disk_1,RE2-OB,disk,clear,checkoutservice,step2,llm:qwen2.5-coder:7b-nothink-shuffled+llm2:qwen2.5-coder:7b,recommendationservice,False,2,High volume of new log entries and rare events suggest potential service overload or misconfiguration.,"Significant increases in CPU, memory, disk I/O, and socket connections indicate potential service issues.",origin,checkoutservice presence change (checkoutservice_diskio); checkoutservice metric shift (checkoutservice_mem),,2/2,976.0,346.0,4.9,13535.0,,qwen2.5-coder:7b,False,2560.0
re1tt_ts-order-service_cpu_1,RE1-TT,cpu,clear,ts-order-service,step2,python:strength+llm2:qwen2.5-coder:7b,ts-order-service,True,1,shape ts-order-service_cpu (20.89); shape ts-order-service_latency-90 (1.92),shape ts-order-service_cpu (20.89); shape ts-order-service_latency-90 (1.92),origin,ts-order-service metric shift (ts-order-service_cpu),,1/1,2150.0,536.0,12.01,13540.0,,qwen2.5-coder:7b,False,3584.0
re1tt_ts-order-service_cpu_1,RE1-TT,cpu,clear,ts-order-service,step2,llm:qwen2.5-coder:7b-nothink-shuffled+llm2:qwen2.5-coder:7b,ts-order-service,True,1,High CPU and latency indicate potential performance issues.,High CPU and latency indicate potential performance issues.,origin,,ts-order-service metric shift (ts-order-service_cpu),0/1,879.0,581.0,11.28,13484.0,,qwen2.5-coder:7b,False,2048.0
