case,dataset,fault,status,truth,stage,arm,answer,correct,abstained,confidence,rank_of_truth,reason_for_answer,reason_for_truth,role_of_truth,retention_kept,retention_missed,retention_score,prompt_tokens,eval_tokens,wall_s,gpu_free_before_MB,parse_error,model,thinking,num_ctx
re2ss_user_loss_1,RE2-SS,loss,clear,user,step2,python:strength+py2:rule,user,True,False,,1,presence user_latency-50 (52.72 (100%->35%)); presence user_latency-90 (112.1 (100%->35%)),presence user_latency-50 (52.72 (100%->35%)); presence user_latency-90 (112.1 (100%->35%)),unknown,user latency goes quiet; user error metric appears; user log volume quiet,,3/3,,,,,,,,
re1ob_adservice_mem_1,RE1-OB,mem,clear,adservice,step1,python:strength,adservice,True,False,,1,shape adservice_mem (10.6); shape adservice_cpu (33.07),shape adservice_mem (10.6); shape adservice_cpu (33.07),,adservice metric shift (adservice_mem),,1/1,,,,,,,,
re1ob_adservice_mem_1,RE1-OB,mem,clear,adservice,step1,python:onset,adservice,True,False,,1,shape adservice_mem (10.6); shape adservice_latency (2.45),shape adservice_mem (10.6); shape adservice_latency (2.45),,adservice metric shift (adservice_mem),,1/1,,,,,,,,
re1ob_adservice_mem_1,RE1-OB,mem,clear,adservice,step2,python:strength+py2:naive,adservice,True,False,,1,shape adservice_mem (10.6); shape adservice_cpu (33.07),shape adservice_mem (10.6); shape adservice_cpu (33.07),unknown,adservice metric shift (adservice_mem),,1/1,,,,,,,,
re1ob_adservice_mem_1,RE1-OB,mem,clear,adservice,step2,python:strength+py2:rule,adservice,True,False,,1,shape adservice_mem (10.6); shape adservice_cpu (33.07),shape adservice_mem (10.6); shape adservice_cpu (33.07),unknown,adservice metric shift (adservice_mem),,1/1,,,,,,,,
re2ob_checkoutservice_disk_1,RE2-OB,disk,clear,checkoutservice,step1,python:strength,checkoutservice,True,False,,1,shape checkoutservice_mem (12.77); shape checkoutservice_cpu (47),shape checkoutservice_mem (12.77); shape checkoutservice_cpu (47),,checkoutservice presence change (checkoutservice_diskio); checkoutservice metric shift (checkoutservice_mem),,2/2,,,,,,,,
re2ob_checkoutservice_disk_1,RE2-OB,disk,clear,checkoutservice,step1,python:onset,recommendationservice,False,False,,3,"log_new [Recv ListRecommendations] product_ids=['<n>E92ZMYYFZ', 'L9E (0->3); log_oneoff 3459 log_oneoff lines (3459 patterns)",shape checkoutservice_mem (12.77); shape checkoutservice_socket (1.33),,checkoutservice presence change (checkoutservice_diskio); checkoutservice metric shift (checkoutservice_mem),,2/2,,,,,,,,
re2ob_checkoutservice_disk_1,RE2-OB,disk,clear,checkoutservice,step2,python:strength+py2:naive,checkoutservice,True,False,,1,shape checkoutservice_mem (12.77); shape checkoutservice_cpu (47),shape checkoutservice_mem (12.77); shape checkoutservice_cpu (47),victim,checkoutservice presence change (checkoutservice_diskio); checkoutservice metric shift (checkoutservice_mem),,2/2,,,,,,,,
re2ob_checkoutservice_disk_1,RE2-OB,disk,clear,checkoutservice,step2,python:strength+py2:rule,checkoutservice,True,False,,1,shape checkoutservice_mem (12.77); shape checkoutservice_cpu (47),shape checkoutservice_mem (12.77); shape checkoutservice_cpu (47),victim,checkoutservice presence change (checkoutservice_diskio); checkoutservice metric shift (checkoutservice_mem),,2/2,,,,,,,,
re1tt_ts-order-service_cpu_1,RE1-TT,cpu,clear,ts-order-service,step1,python:strength,ts-order-service,True,False,,1,shape ts-order-service_cpu (20.89); shape ts-order-service_latency-90 (1.92),shape ts-order-service_cpu (20.89); shape ts-order-service_latency-90 (1.92),,ts-order-service metric shift (ts-order-service_cpu),,1/1,,,,,,,,
re1tt_ts-order-service_cpu_1,RE1-TT,cpu,clear,ts-order-service,step1,python:onset,ts-config-mongo,False,False,,3,shape ts-config-mongo_mem (1.04),shape ts-order-service_cpu (20.89); shape ts-order-service_latency-90 (1.92),,ts-order-service metric shift (ts-order-service_cpu),,1/1,,,,,,,,
re1tt_ts-order-service_cpu_1,RE1-TT,cpu,clear,ts-order-service,step2,python:strength+py2:naive,ts-order-service,True,False,,1,shape ts-order-service_cpu (20.89); shape ts-order-service_latency-90 (1.92),shape ts-order-service_cpu (20.89); shape ts-order-service_latency-90 (1.92),victim,ts-order-service metric shift (ts-order-service_cpu),,1/1,,,,,,,,
re1tt_ts-order-service_cpu_1,RE1-TT,cpu,clear,ts-order-service,step2,python:strength+py2:rule,ts-order-service,True,False,,1,shape ts-order-service_cpu (20.89); shape ts-order-service_latency-90 (1.92),shape ts-order-service_cpu (20.89); shape ts-order-service_latency-90 (1.92),victim,ts-order-service metric shift (ts-order-service_cpu),,1/1,,,,,,,,
re2tt_ts-order-service_delay_1,RE2-TT,delay,clear,ts-order-service,step1,python:strength,ts-security-service,False,False,,3,shape ts-security-service_latency-50 (15.83); shape ts-security-service_latency-90 (23.55),shape ts-order-service_latency-50 (51.03); shape ts-order-service_latency-90 (48),,ts-order-service new log pattern (INFO <n> --- [<thread>] order.service.Or); ts-order-service log volume quiet (ts-order-service log volume); ts-order-service log rate change (INFO <n> --- [<thread>] order.controller),,3/3,,,,,,,,
re2tt_ts-order-service_delay_1,RE2-TT,delay,clear,ts-order-service,step1,python:onset,ts-admin-basic-info-service,False,False,,10,quiet ts-admin-basic-info-service log volume (22.8->17.6 lines/min); shape ts-admin-basic-info-service_cpu (1.2),quiet ts-order-service log volume (300.6->167.3 lines/min); shape ts-order-service_socket (1.54),,ts-order-service new log pattern (INFO <n> --- [<thread>] order.service.Or); ts-order-service log volume quiet (ts-order-service log volume); ts-order-service log rate change (INFO <n> --- [<thread>] order.controller),,3/3,,,,,,,,
re2tt_ts-order-service_delay_1,RE2-TT,delay,clear,ts-order-service,step2,python:strength+py2:naive,ts-security-service,False,False,,3,shape ts-security-service_latency-50 (15.83); shape ts-security-service_latency-90 (23.55),shape ts-order-service_latency-50 (51.03); shape ts-order-service_latency-90 (48),victim,ts-order-service new log pattern (INFO <n> --- [<thread>] order.service.Or); ts-order-service log volume quiet (ts-order-service log volume); ts-order-service log rate change (INFO <n> --- [<thread>] order.controller),,3/3,,,,,,,,
re2tt_ts-order-service_delay_1,RE2-TT,delay,clear,ts-order-service,step2,python:strength+py2:rule,ts-security-service,False,False,,3,shape ts-security-service_latency-50 (15.83); shape ts-security-service_latency-90 (23.55),shape ts-order-service_latency-50 (51.03); shape ts-order-service_latency-90 (48),victim,ts-order-service new log pattern (INFO <n> --- [<thread>] order.service.Or); ts-order-service log volume quiet (ts-order-service log volume); ts-order-service log rate change (INFO <n> --- [<thread>] order.controller),,3/3,,,,,,,,
re1ob_cartservice_loss_4,RE1-OB,loss,weak,cartservice,step1,python:strength,recommendationservice,False,False,,2,shape recommendationservice_latency-90 (1.55); shape recommendationservice_latency-50 (1.05),shape cartservice_latency-90 (30.31); shape cartservice_latency-50 (1.4),,cartservice metric shift (cartservice_latency-90),,1/1,,,,,,,,
re1ob_cartservice_loss_4,RE1-OB,loss,weak,cartservice,step1,python:onset,productcatalogservice,False,False,,4,shape productcatalogservice_cpu (1.1); shape productcatalogservice_workload (1.05),shape cartservice_latency-90 (30.31); shape cartservice_latency-50 (1.4),,cartservice metric shift (cartservice_latency-90),,1/1,,,,,,,,
re1ob_cartservice_loss_4,RE1-OB,loss,weak,cartservice,step2,python:strength+py2:naive,recommendationservice,False,False,,2,shape recommendationservice_latency-90 (1.55); shape recommendationservice_latency-50 (1.05),shape cartservice_latency-90 (30.31); shape cartservice_latency-50 (1.4),unknown,cartservice metric shift (cartservice_latency-90),,1/1,,,,,,,,
re1ob_cartservice_loss_4,RE1-OB,loss,weak,cartservice,step2,python:strength+py2:rule,recommendationservice,False,False,,2,shape recommendationservice_latency-90 (1.55); shape recommendationservice_latency-50 (1.05),shape cartservice_latency-90 (30.31); shape cartservice_latency-50 (1.4),unknown,cartservice metric shift (cartservice_latency-90),,1/1,,,,,,,,
re3ss_carts_f4_1,RE3-SS,f4,weak,carts,step1,python:strength,carts,True,False,,1,"log_rare 122 log_rare lines [classes: java.io.IOException, javax.serv (122 patterns); log_oneoff 29 log_oneoff lines [classes: java.net.ConnectException, com (29 patterns)","log_rare 122 log_rare lines [classes: java.io.IOException, javax.serv (122 patterns); log_oneoff 29 log_oneoff lines [classes: java.net.ConnectException, com (29 patterns)",,carts log volume quiet (carts log volume); carts metric shift (carts_socket),,2/2,,,,,,,,
re3ss_carts_f4_1,RE3-SS,f4,weak,carts,step1,python:onset,orders-db,False,False,,2,shape orders-db_socket (2.5); shape orders-db_cpu (1.03),"quiet carts log volume (175.7->162.3 lines/min); log_oneoff 29 log_oneoff lines [classes: java.net.ConnectException, com (29 patterns)",,carts log volume quiet (carts log volume); carts metric shift (carts_socket),,2/2,,,,,,,,
re3ss_carts_f4_1,RE3-SS,f4,weak,carts,step2,python:strength+py2:naive,carts,True,False,,1,"log_rare 122 log_rare lines [classes: java.io.IOException, javax.serv (122 patterns); log_oneoff 29 log_oneoff lines [classes: java.net.ConnectException, com (29 patterns)","log_rare 122 log_rare lines [classes: java.io.IOException, javax.serv (122 patterns); log_oneoff 29 log_oneoff lines [classes: java.net.ConnectException, com (29 patterns)",victim,carts log volume quiet (carts log volume); carts metric shift (carts_socket),,2/2,,,,,,,,
re3ss_carts_f4_1,RE3-SS,f4,weak,carts,step2,python:strength+py2:rule,carts,True,False,,1,"log_rare 122 log_rare lines [classes: java.io.IOException, javax.serv (122 patterns); log_oneoff 29 log_oneoff lines [classes: java.net.ConnectException, com (29 patterns)","log_rare 122 log_rare lines [classes: java.io.IOException, javax.serv (122 patterns); log_oneoff 29 log_oneoff lines [classes: java.net.ConnectException, com (29 patterns)",victim,carts log volume quiet (carts log volume); carts metric shift (carts_socket),,2/2,,,,,,,,
re3ss_carts_f1_1,RE3-SS,f1,clear,carts,direct,direct:qwen3.6:27b,carts,True,False,high,1,"The carts service exhibits the earliest and most specific failure signals (connection refused errors, HTTP 500s, and a new 'POST not supported' warning indicating a restart or configuration fault), which subsequently caused cascading failures in orders and front-end.","The carts service exhibits the earliest and most specific failure signals (connection refused errors, HTTP 500s, and a new 'POST not supported' warning indicating a restart or configuration fault), which subsequently caused cascading failures in orders and front-end.",,carts WARN 'POST not supported'; carts error-seconds rise,carts goes quiet (restart),2/3,2819,264,47.93,19507,,qwen3.6:27b,False,4608
re3ss_carts_f3_1,RE3-SS,f3,clear,carts,direct,direct:qwen3.6:27b,carts-db,False,False,high,,"The carts-db service shows a clear drop in socket connections and connection churn logs at the onset of the fault, while the carts service (which depends on it) subsequently fails with connection refused errors and high error rates, indicating carts-db is the root cause.",,,carts error-rate rise (carts_error); carts new log pattern (WARN o.s.web.servlet.PageNotFound: Reque),carts log volume quiet (carts log volume),2/3,2758,274,9.53,1595,,qwen3.6:27b,False,4608
re3ss_orders_f1_1,RE3-SS,f1,clear,orders,direct,direct:qwen3.6:27b,orders,True,False,high,1,"The orders service exhibits new application-level errors (JsonMappingException) and connection failures starting at t=12s, which cause downstream failures in front-end and upstream dependency issues (orders-db socket churn), while other services like queue-master and shipping show symptoms of being ","The orders service exhibits new application-level errors (JsonMappingException) and connection failures starting at t=12s, which cause downstream failures in front-end and upstream dependency issues (orders-db socket churn), while other services like queue-master and shipping show symptoms of being ",,orders error-rate rise (orders_error); orders new log pattern (Caused by: java.lang.IllegalArgumentExce),orders presence change (orders_diskio),2/3,3055,300,10.78,1595,,qwen3.6:27b,False,4608
re3ss_orders_f3_1,RE3-SS,f3,clear,orders,direct,direct:qwen3.6:27b,orders,True,False,high,1,"The orders service exhibits the earliest signs of failure (connection refused errors at t=13s) and subsequently stops processing payments correctly (returning null/declined), which causes the downstream front-end errors and shipping/queue-master quietness.","The orders service exhibits the earliest signs of failure (connection refused errors at t=13s) and subsequently stops processing payments correctly (returning null/declined), which causes the downstream front-end errors and shipping/queue-master quietness.",,orders INFO 'payment response: null'; front-end 'Not Acceptable' orders; orders error-seconds rise,,3/3,2786,265,9.72,1595,,qwen3.6:27b,False,4608
re3ss_front-end_f1_1,RE3-SS,f1,clear,front-end,direct,direct:qwen3.6:27b,orders,False,False,high,,"The orders service stopped logging successful request processing (vanished error logs indicating a crash or hang) and its downstream database (orders-db) showed connection churn, while the front-end began receiving 406 errors from the orders endpoint, indicating the fault originated in the orders se",,,"front-end error-rate rise (front-end_error); front-end new log pattern (Order response: {""statusCode"":status406,)",front-end log rate change (POST /cart status500 <n> ms - <n>),2/3,1919,311,18.85,1595,,qwen3.6:27b,False,3584
re2ss_user_loss_1,RE2-SS,loss,clear,user,direct,direct:qwen3.6:27b,user,True,False,high,1,"The user service exhibits the earliest and most severe symptoms (93% error rate, latency spike, and workload drop to zero starting at t=30s), while its dependency user-db shows only connection churn (a symptom of the client failing) and no independent failure indicators.","The user service exhibits the earliest and most severe symptoms (93% error rate, latency spike, and workload drop to zero starting at t=30s), while its dependency user-db shows only connection churn (a symptom of the client failing) and no independent failure indicators.",,user latency goes quiet; user error metric appears; user log volume quiet,,3/3,5769,227,21.68,1667,,qwen3.6:27b,False,7680
re1ob_adservice_mem_1,RE1-OB,mem,clear,adservice,direct,direct:qwen3.6:27b,adservice,True,False,high,1,"adservice is the only service exhibiting clear, strong step-changes in CPU, memory, and latency, while all other services show only weak, near-threshold fluctuations consistent with downstream noise or minor load shifts.","adservice is the only service exhibiting clear, strong step-changes in CPU, memory, and latency, while all other services show only weak, near-threshold fluctuations consistent with downstream noise or minor load shifts.",,adservice metric shift (adservice_mem),,1/1,663,261,15.34,1389,,qwen3.6:27b,False,2048
re2ob_checkoutservice_disk_1,RE2-OB,disk,clear,checkoutservice,direct,direct:qwen3.6:27b,checkoutservice,True,False,high,1,"checkoutservice is the only service exhibiting clear, step-change increases in CPU, memory, and socket usage immediately after t=0, while all other services show stable metrics or only noise-level fluctuations.","checkoutservice is the only service exhibiting clear, step-change increases in CPU, memory, and socket usage immediately after t=0, while all other services show stable metrics or only noise-level fluctuations.",,checkoutservice metric shift (checkoutservice_mem),checkoutservice presence change (checkoutservice_diskio),1/2,8013,252,29.3,1769,,qwen3.6:27b,False,10240
re1tt_ts-order-service_cpu_1,RE1-TT,cpu,clear,ts-order-service,direct,direct:qwen3.6:27b,ts-order-service,True,False,high,1,"ts-order-service is the only service exhibiting clear, strong evidence of degradation (CPU step up and latency increase) while all other services show either no change or weak/noisy fluctuations, indicating it is the origin rather than a victim.","ts-order-service is the only service exhibiting clear, strong evidence of degradation (CPU step up and latency increase) while all other services show either no change or weak/noisy fluctuations, indicating it is the origin rather than a victim.",,ts-order-service metric shift (ts-order-service_cpu),,1/1,1485,265,16.72,1437,,qwen3.6:27b,False,3072
re2tt_ts-order-service_delay_1,RE2-TT,delay,clear,ts-order-service,direct,direct:qwen3.6:27b,ts-order-service,True,False,medium,1,"ts-order-service exhibits the largest latency spike (51x) and significant log volume reduction, acting as the primary bottleneck that likely caused cascading timeouts and latency increases in dependent services like ts-travel-service and ts-seat-service.","ts-order-service exhibits the largest latency spike (51x) and significant log volume reduction, acting as the primary bottleneck that likely caused cascading timeouts and latency increases in dependent services like ts-travel-service and ts-seat-service.",,ts-order-service log volume quiet (ts-order-service log volume),ts-order-service new log pattern (INFO <n> --- [<thread>] order.service.Or); ts-order-service log rate change (INFO <n> --- [<thread>] order.controller),1/3,7268,293,29.58,1703,,qwen3.6:27b,False,9728
re1ob_cartservice_loss_4,RE1-OB,loss,weak,cartservice,direct,direct:qwen3.6:27b,recommendationservice,False,False,high,,"recommendationservice is the only service showing a clear, strong step change in latency (90th percentile), while other services show only weak, noisy fluctuations or no changes, indicating it is the root cause rather than a victim of cascading failures.",,,cartservice metric shift (cartservice_latency-90),,1/1,611,279,16.47,1473,,qwen3.6:27b,False,2048
re3ss_carts_f4_1,RE3-SS,f4,weak,carts,direct,direct:qwen3.6:27b,orders-db,False,False,high,,"The orders-db service exhibits a clear step-change drop in socket connections at t=0, indicating a failure or restart that caused downstream services (orders, front-end) to experience connection errors and 500 responses.",,,,carts log volume quiet (carts log volume); carts metric shift (carts_socket),0/2,2187,252,17.7,1771,,qwen3.6:27b,False,3584
re3ss_carts_f1_1,RE3-SS,f1,clear,carts,step3,python:strength+py2:naive+py3:top1,carts,True,False,medium,1,error_rate carts_error (from ~0 errors 6%->98%); log_new WARN o.s.web.servlet.PageNotFound: Request method 'POST' not (0->569),error_rate carts_error (from ~0 errors 6%->98%); log_new WARN o.s.web.servlet.PageNotFound: Request method 'POST' not (0->569),victim,carts WARN 'POST not supported'; carts goes quiet (restart); carts error-seconds rise,,3/3,,,,,,,,
re3ss_carts_f1_1,RE3-SS,f1,clear,carts,step3,python:strength+py2:naive+py3:role,carts,True,False,medium,1,"no candidate was labelled origin, fell back to step 1's top candidate; error_rate carts_error (from ~0 errors 6%->98%); log_new WARN o.s.web.servlet.PageNotFound: Request method 'POST' not (0->569)","no candidate was labelled origin, fell back to step 1's top candidate; error_rate carts_error (from ~0 errors 6%->98%); log_new WARN o.s.web.servlet.PageNotFound: Request method 'POST' not (0->569)",victim,carts WARN 'POST not supported'; carts goes quiet (restart); carts error-seconds rise,,3/3,,,,,,,,
